filename,x0,y0,x1,y1,x2,y2,x3,y3
GBR_P7_07c2c588-070d-488e-9355-cabf350a38ef-c069d0eb-8a52-46e5-aa1d-8c370038ce96.jpg, -2, 0, 1282, 3, 1297, 921, -18, 916
GBR_RB45_06ca93a3-b76b-489a-b11f-970b1f9e2877-05db2e6d-155b-4dc1-874f-feb7811eacc7.jpg, -16, 21, 1420, 53, 1403, 891, 24, 945
FRA_P3_d97a34c3-99cb-45ec-8ce0-048853a56e3a-5788b4ed-ca41-4bdc-b89f-c55382dfb1ab.jpg, 37, 14, 1267, 19, 1367, 926, -32, 932
GBR_RB45_e95c0a7e-4004-46ca-9760-beec4bbb390e-912b5c5f-b338-4aab-adcd-837b8dbdc9bc.jpg, -3, 62, 832, 56, 840, 579, 6, 590
FRA_I3_fbdcd3a8-444d-4cef-a294-ec8f8a28589e-b5ebed73-697d-4ad9-9a9c-fc5399f5ab17.jpg, 65, 39, 1243, 55, 1251, 865, 33, 873
GBR_RB42_dc1b9bb2-367d-4a36-bf6b-7f0dbff21e33-88060dee-7090-430e-a868-7abb4e5c3ab9.jpg, -20, 13, 1409, 12, 1429, 914, -16, 920
AUS_P5_b3c982d9-a737-4290-9abc-2a4a01cc1e4f-4e0aa812-5680-4e1d-9bb0-1abc9b08b914.jpg, 117, 116, 1058, 136, 1097, 800, 92, 787
USA_P8_69da6c14-1c73-4c6b-ae43-37e938b54a8d-b5c37473-95fc-403b-a9fd-5ba6944151b1.jpg, -1, -7, 1269, -6, 1289, 906, -31, 901
GBR_RB45_ed0e935c-e728-454b-b19b-cf8e792315ce-fd112954-23db-4684-b1b0-c646971c82c2.jpg, 39, 27, 1415, 40, 1398, 853, 77, 928
GBR_RB50_badfbf27-4199-48c5-835b-b63bc3b91c76-64cfe926-31cb-4aca-ad57-448474fbfc65.jpg, 21, 43, 1458, 28, 1417, 923, 63, 878
GBR_RB46_7de770ec-2fb6-40cb-a859-3304f9091de3-a8009806-5d26-41fe-a249-803ef0d6e6ff.jpg, 11, -3, 1420, 10, 1412, 887, 7, 899
GBR_RB50_516b2ebf-0339-4afb-985a-43dea006b3f1-ae1faf55-ea5f-456d-837b-fd4382776049.jpg, 51, 176, 1288, 163, 1306, 942, 54, 952
GBR_P7_f7763b53-9abf-4ced-8b0c-7629d78a7efe-dc08f220-bcc3-4a55-ac48-3465a1889c1b.jpg, 14, 55, 1206, 87, 1216, 882, 21, 930
GBR_RB43_d7193696-f451-45b8-8c62-f15b7d638845-b5e42ed3-cf68-4cbf-9446-3fdb22d35a96.jpg, -10, 1, 1304, 37, 1313, 828, 2, 905
GBR_P7_fb4ae251-4d40-42e7-96ab-aa6eec98f320-e5882f68-c6a0-44df-9796-d54caf530f37.jpg, 2, 65, 1207, 52, 1221, 865, 16, 904
ESP_P3_1e5647ef-7b77-4152-a3e6-0c5b94fd92e9-558fafcf-a352-45a8-9a1e-0ee41f690ff4.jpg, 16, 24, 1262, 13, 1245, 855, 56, 847
GBR_RB30_35522188-a2f3-4182-aac2-7f028903f3a5-00f5d2fb-62bc-46ff-aeb1-a7bb1c3b5b89.jpg, 9, 23, 1412, 23, 1392, 896, 28, 898
GBR_RB45_38025628-62c8-4d4d-b9a4-ee5ca19fdfaa-142e7b7d-e896-4bf1-9b71-1e20ab58b11d.jpg, 57, 75, 1357, 79, 1354, 871, 69, 903
FRA_P3_b13b9887-688b-4e8f-9bbb-677dcb5bfc3f-54c733da-17c5-4cec-ba36-9031f4e81cb4.jpg, 25, -20, 1393, 9, 1384, 923, 18, 939
SWE_P5_865dd2b9-0f44-4f05-8ca0-cb76aeba1101-7d1b056c-5b69-4b79-8111-708ade7ad927.jpg, 60, 62, 1318, 20, 1241, 875, 28, 916
GBR_RB30_d893d4f2-974e-41bd-97af-0937c3620ef8-505c8051-ae77-44ce-b514-42045ca35bee.jpg, 39, 19, 1341, 32, 1338, 841, 36, 855
GBR_RB45_fb031e34-f413-4260-81d1-2f14d63b2060-6611b6de-5472-4744-b3ff-fad3bb72c631.jpg, 100, 67, 1162, 93, 1188, 764, 74, 768
GBR_P7_fd8a921f-3076-4e17-b47f-add6932dc962-c9862d43-9001-454e-85c6-32d84792afb9.jpg, 105, 125, 1049, 115, 1076, 780, 60, 782
GBR_P17_b812b084-3458-41f0-9fe8-adab767c938d-71994c28-ba00-4926-9058-3e79792d9803.jpg, 32, 114, 1107, 80, 1335, 770, -37, 886
GBR_P7_93dbd5b2-37cc-47b9-9ea2-c3c254785c20-926f5812-323a-4f04-a192-a7979e96295c.jpg, 0, 55, 1251, 96, 1306, 951, -74, 968
HUN_P3_4107e9b1-8b0c-42d2-a954-35a5fca6efeb-2f810c71-d1d2-4034-a02c-ed6099682979.jpg, -15, 28, 1218, 79, 1151, 908, -17, 867
GBR_RB45_e534cd8c-2a69-45c3-82eb-6643b753e081-10f5d528-573c-429b-88dd-3093545b0c8d.jpg, -83, -22, 1353, -1, 1396, 905, -122, 916
GBR_P17_6644659b-85e3-412c-a718-d4ca8493571f-340b6ff6-b97b-4e4f-bb26-2aff5cd315ca.jpg, -42, 19, 1281, 25, 1332, 909, -34, 933
GBR_P17_acb0b52c-ac64-4745-b38d-b405f4039133-c886406f-9048-4f13-9c01-ac1cd8032f5c.jpg, 1, 32, 1266, 27, 1337, 911, -23, 918
GBR_RB45_b5a9d7c5-bdc6-4b13-b60d-2e1f93da88a0-f48b96ca-d947-4c43-b493-619d91f33def.jpg, -24, 13, 1329, -12, 1393, 893, -69, 877
GBR_RB42_bf2ecf89-a9c2-47b3-b5a6-ef05ff6ba6f9-ca91cd78-f606-4335-b4d6-b238b289474d.jpg, 4, -12, 1454, -12, 1486, 896, -1, 918
GBR_RB45_6b0c2d7c-f443-4129-a2d9-d9fb1f42ce3d-7d5bd538-f6ee-4b16-9fd2-194a0c2fac41.jpg, 4, 59, 1285, 64, 1420, 905, -139, 904
FRA_I3_2b4fc81b-0aa6-405e-9b2d-1df3c6f8a97d-528fd3a8-6ff1-450d-9aac-64678266f6f0.jpg, 4, 9, 1292, 34, 1300, 921, -22, 932
AUS_RB2_c2105014-57e4-4ddb-acdc-2c2afc46c23a-d0a5e8c0-eb3c-4759-a2c6-d8a4c4a4c158.jpg, -37, 12, 1340, 18, 1371, 912, -91, 880
GBR_P17_682de7be-32f9-47f3-a79f-ba14401af9c4-e76e43c6-20c1-430a-982e-eb1e6b47b97f.jpg, -31, 40, 1272, 42, 1247, 925, -2, 923
IRL_P7_ab02b620-c95d-4e42-b480-fa9752949bb5-67f82259-e8b1-4b98-ad42-1f9e35909e47.jpg, 88, 109, 1151, 101, 1143, 830, 125, 859
GBR_RB50_460c2275-ccac-48ea-b981-38e81c86da71-0540bbfb-56bc-4a25-8769-efc473da2986.jpg, -28, -38, 1397, 55, 1314, 904, -67, 859
IRL_P7_5f748c6f-a0bd-4827-9afc-48b60ff19888-1eaabccd-201f-4ca0-b82d-75069a11efd8.jpg, 46, 96, 1155, 105, 1292, 886, -25, 918
CYP_P5_665f927d-01f8-4a79-9541-1f59fe285760-2c90da2b-c7ac-4885-a2ce-17a22dd77c44.jpg, 85, 156, 1194, 108, 1334, 912, -3, 944
MDV_P6_396db4f3-7928-41f5-9cef-d3a5e4ea5eb6-48ea8351-f1b2-4731-a054-e668bc2cf0d0.jpg, 23, 68, 1238, 52, 1216, 850, 43, 906
GBR_RB42_7c9be314-3d7d-457e-ad8e-54e0cb7a0005-cf719c23-cf36-48b8-8874-016b6148565e.jpg, -18, -6, 1289, 18, 1277, 871, -59, 860
FRA_P3_8024239c-6335-49e1-b421-5a5fe295e5f5-bc61a1eb-71b8-44cb-9b82-0a61385c18b7.jpg, 18, 13, 1223, 31, 1246, 878, 19, 900
